provider_id,npi,specialty,state
PRV000298,1908150905,Pediatrics,ND
PRV000299,1648124657,Dermatology,TN
PRV000300,1067206825,Dermatology,TX
PRV000301,1717175256,Psychiatry,KS
PRV000302,1185131351,OBGYN,WY
PRV000303,1395760498,OBGYN,MT
PRV000304,1293518437,Pediatrics,NM
PRV000305,1926423617,Internal Medicine,TN
PRV000306,1351930577,Dermatology,AZ
PRV000307,1118717442,Radiology,TN
PRV000308,1259179741,Psychiatry,MA
PRV000309,1236060614,Radiology,MT
PRV000310,1974579372,Emergency Medicine,CT
PRV000311,1085540851,Pediatrics,TX
PRV000312,1134675456,Dermatology,MD
PRV000313,1481498698,Orthopedics,CA
PRV000314,1648240912,OBGYN,NJ
PRV000315,1309002960,Family Medicine,MT
PRV000316,1148566291,Internal Medicine,MN
PRV000317,1142848295,Dermatology,KS
PRV000318,1805880771,OBGYN,CO
PRV000319,1581405829,Emergency Medicine,MI
PRV000320,1432844191,Psychiatry,MI
PRV000321,1815283496,Cardiology,MO
PRV000322,1482469814,Internal Medicine,WY
PRV000323,1534793520,Emergency Medicine,HI
PRV000324,1428131689,Internal Medicine,LA
PRV000325,1928424987,Pediatrics,IA
PRV000326,1043225377,Dermatology,RI
PRV000327,1539053426,Pediatrics,NM
PRV000328,1883630490,Orthopedics,AZ
PRV000329,1495383423,Pediatrics,GA
PRV000330,1768797640,Family Medicine,NH
PRV000331,1020704696,Emergency Medicine,ID
PRV000332,1271133145,Pediatrics,AL
PRV000333,1842829174,Pediatrics,ND
PRV000334,1855372523,Orthopedics,MA
PRV000335,1678563707,Psychiatry,MS
PRV000336,1877046450,Family Medicine,NM
PRV000337,1024181247,OBGYN,TN
PRV000338,1353351243,Internal Medicine,PA
PRV000339,1319550977,Internal Medicine,HI
PRV000340,1093291274,Family Medicine,WY
PRV000341,1897270804,Orthopedics,DE
PRV000342,1337788284,Emergency Medicine,IL
PRV000343,1593942067,Orthopedics,DE
PRV000344,1405213826,Internal Medicine,MN
PRV000345,1258755198,Psychiatry,AZ
PRV000346,1557041555,Orthopedics,AR
PRV000347,1984457640,Pediatrics,HI
PRV000348,1222598256,Dermatology,WY
PRV000349,1738345387,Dermatology,RI
PRV000350,1439837505,Cardiology,LA
PRV000351,1845160918,Orthopedics,SC
PRV000352,1730660582,Internal Medicine,IA
PRV000353,1006405747,Psychiatry,WA
PRV000354,1692918598,Pediatrics,IN
PRV000355,1721844028,Dermatology,DE
PRV000356,1521824468,Family Medicine,IN
PRV000357,1391382927,Cardiology,NV
PRV000358,1007203913,Dermatology,CA
PRV000359,1623350665,Psychiatry,PA
PRV000360,1251726233,Internal Medicine,SC
PRV000361,1426512615,Cardiology,AR
PRV000362,1514354378,Radiology,AK
PRV000363,1080596114,Emergency Medicine,UT
PRV000364,1042935602,Family Medicine,MD
PRV000365,1813887378,Orthopedics,NY
PRV000366,1389964680,Pediatrics,NY
PRV000367,1450493929,Psychiatry,CO
PRV000368,1285016395,Internal Medicine,IL
PRV000369,1968867825,Pediatrics,VA
PRV000370,1730139772,Dermatology,AK
PRV000371,1326480669,Orthopedics,WV
PRV000372,1827951390,Psychiatry,CT
PRV000373,1470598299,Psychiatry,OK
PRV000374,1953965586,Orthopedics,AZ
PRV000375,1960883786,Orthopedics,FL
PRV000376,1222300875,Internal Medicine,DE
PRV000377,1051556575,Psychiatry,IL
PRV000378,1547018453,Dermatology,OH
PRV000379,1597771339,Internal Medicine,IA
PRV000380,1757535698,Psychiatry,MO
PRV000381,1418258344,Emergency Medicine,VA
PRV000382,1419407517,Orthopedics,MO
PRV000383,1625263711,Dermatology,GA
PRV000384,1622589166,Orthopedics,UT
PRV000385,1076349014,Pediatrics,TX
PRV000386,1204180056,Radiology,NV
PRV000387,1634775809,Pediatrics,SC
PRV000388,1518611824,Emergency Medicine,ND
PRV000389,1627134637,OBGYN,OH
PRV000390,1427888419,Cardiology,NM
PRV000391,1804729024,Internal Medicine,SD
PRV000392,1302865187,Psychiatry,KY
PRV000393,1649804879,Dermatology,LA
PRV000394,1811256040,Radiology,OR
PRV000395,1798834643,Pediatrics,KS
PRV000396,1886108733,Dermatology,WY
PRV000397,1902618523,Radiology,WY
PRV000398,1026079657,Internal Medicine,NM
PRV000399,1659397183,Cardiology,KS
PRV000400,1282462359,Orthopedics,WY
PRV000401,1226277259,Dermatology,OH
PRV000402,1958215296,Family Medicine,LA
PRV000403,1574466618,Psychiatry,AL
PRV000404,1480302907,Pediatrics,RI
PRV000405,1824566847,Orthopedics,CT
PRV000406,1783949458,Pediatrics,GA
PRV000407,1538515203,Radiology,OK
PRV000408,1228413624,Emergency Medicine,CO
PRV000409,1853591575,Pediatrics,AL
PRV000410,1692429468,Cardiology,WI
PRV000411,1847335891,Pediatrics,MO
PRV000412,1452808349,Orthopedics,MD
PRV000413,1324175422,Orthopedics,WY
PRV000414,1068933285,Pediatrics,DE
PRV000415,1755652420,Radiology,VT
PRV000416,1628123155,Family Medicine,PA
PRV000417,1064584969,Dermatology,PA
PRV000418,1211029711,Psychiatry,TX
PRV000419,1849870949,Radiology,OR
PRV000420,1941742315,Family Medicine,MT
PRV000421,1743951181,OBGYN,TX
PRV000422,1164787422,OBGYN,NH
PRV000423,1894293110,Family Medicine,AK
PRV000424,1934497459,Dermatology,MT
PRV000425,1185963321,Emergency Medicine,OR
PRV000426,1656350038,Radiology,IA
PRV000427,1967802487,Internal Medicine,LA
PRV000428,1644460039,Pediatrics,MS
PRV000429,1991081381,Internal Medicine,VA
PRV000430,1304527420,Pediatrics,MN
PRV000431,1069127126,Psychiatry,MA
PRV000432,1698216591,OBGYN,NC
PRV000433,1739163033,Dermatology,MI
PRV000434,1945226088,Radiology,WA
PRV000435,1728628884,OBGYN,IL
PRV000436,1426537532,Orthopedics,ID
PRV000437,1267966829,Internal Medicine,RI
PRV000438,1750430051,Orthopedics,ID
PRV000439,1257579468,OBGYN,IA
PRV000440,1842665556,Cardiology,MS
PRV000441,1413563261,Family Medicine,RI
PRV000442,1774218117,Orthopedics,NM
PRV000443,1971957451,Orthopedics,WY
PRV000444,1144254220,OBGYN,HI
PRV000445,1922566499,Family Medicine,TX
PRV000446,1969117432,Internal Medicine,ME
PRV000447,1376246416,Family Medicine,ND
PRV000448,1535596808,Emergency Medicine,TN
PRV000449,1179410414,Family Medicine,DE
PRV000450,1771262683,OBGYN,NC
PRV000451,1041766680,Orthopedics,TN
PRV000452,1154354626,Internal Medicine,MD
PRV000453,1330411763,Radiology,ME
PRV000454,1275342514,Cardiology,RI
PRV000455,1644981534,OBGYN,VT
PRV000456,1929305050,Radiology,PA
PRV000457,1035959041,Radiology,MI
PRV000458,1178261204,Pediatrics,NJ
PRV000459,1173007915,Family Medicine,MD
PRV000460,1264460721,OBGYN,TX
PRV000461,1082044503,Cardiology,CO
PRV000462,1162280764,Internal Medicine,LA
PRV000463,1990434196,Emergency Medicine,MI
PRV000464,1451662783,Radiology,MA
PRV000465,1296961205,Emergency Medicine,NJ
PRV000466,1719852586,Dermatology,GA
PRV000467,1052360141,Family Medicine,OK
PRV000468,1023205969,Emergency Medicine,AK
PRV000469,1713510780,OBGYN,AZ
PRV000470,1279639566,Emergency Medicine,OH
PRV000471,1670652558,Emergency Medicine,LA
PRV000472,1164225660,OBGYN,MI
PRV000473,1195745204,Orthopedics,CO
PRV000474,1349342861,OBGYN,PA
PRV000475,1652577318,OBGYN,ID
PRV000476,1723172791,Pediatrics,GA
PRV000477,1322461732,Pediatrics,OK
PRV000478,1277218749,Psychiatry,NE
PRV000479,1225840924,OBGYN,MS
PRV000480,1449871441,Radiology,CA
PRV000481,1445356672,Family Medicine,CA
PRV000482,1920091977,Family Medicine,NH
PRV000483,1665972976,Cardiology,UT
PRV000484,1778937835,Emergency Medicine,AL
PRV000485,1660727720,OBGYN,MN
PRV000486,1278058958,Psychiatry,PA
PRV000487,1095481255,Emergency Medicine,NJ
PRV000488,1660391067,Emergency Medicine,MT
PRV000489,1856100080,Internal Medicine,OR
PRV000490,1923452288,Emergency Medicine,NJ
PRV000491,1198406716,Internal Medicine,WV
PRV000492,1746724026,Dermatology,NY
PRV000493,1815171940,Psychiatry,LA
PRV000494,1005735862,Pediatrics,VT
PRV000495,1403264581,Radiology,TX
PRV000496,1835419716,Dermatology,UT
PRV000497,1434167048,Emergency Medicine,LA
PRV000498,1242367122,OBGYN,NV
PRV000499,1351679679,Orthopedics,NV
PRV000500,1041232053,Emergency Medicine,ID
PRV000501,1908226972,Orthopedics,KY
PRV000502,1228906466,Pediatrics,MS
PRV000503,1362393077,OBGYN,OK
PRV000504,1200630662,Dermatology,NC
PRV000505,1543473587,OBGYN,DE
PRV000506,1995819476,Emergency Medicine,AL
PRV000507,1833193527,OBGYN,NV
PRV000508,1381520391,Family Medicine,AR
PRV000509,1178841744,Psychiatry,SC
PRV000510,1664528472,Family Medicine,NM
PRV000511,1479730741,Radiology,MN
PRV000512,1987384511,OBGYN,FL
PRV000513,1979230830,OBGYN,AR
PRV000514,1687884474,Dermatology,WI
PRV000515,1156341795,Dermatology,KS
PRV000516,1399671147,OBGYN,ND
PRV000517,1474728948,Cardiology,GA
PRV000518,1554773760,Family Medicine,WA
PRV000519,1975702908,Emergency Medicine,NY
PRV000520,1565335189,Radiology,OR
PRV000521,1113848232,Emergency Medicine,AZ
PRV000522,1907574703,Orthopedics,AL
PRV000523,1610100599,Internal Medicine,SD
PRV000524,1253080138,Dermatology,CO
PRV000525,1788209652,Pediatrics,OH
PRV000526,1256287745,Dermatology,RI
PRV000527,1040964416,Family Medicine,AK
PRV000528,1161373766,Dermatology,ID
PRV000529,1777488994,Radiology,IN
PRV000530,1842698021,Dermatology,SD
PRV000531,1637382869,Orthopedics,MI
PRV000532,1738307591,OBGYN,WV
PRV000533,1622034227,Cardiology,KY
PRV000534,1729056402,Internal Medicine,KY
PRV000535,1257681219,Dermatology,GA
PRV000536,1361161837,Psychiatry,NV
PRV000537,1270093518,Psychiatry,LA
PRV000538,1832606000,Internal Medicine,PA
PRV000539,1150250831,Pediatrics,NV
PRV000540,1608020555,Pediatrics,WY
PRV000541,1585800883,Emergency Medicine,WI
PRV000542,1916052540,Family Medicine,IA
PRV000543,1515432936,Cardiology,WA
PRV000544,1740429142,Psychiatry,KY
PRV000545,1055351116,Radiology,VT
PRV000546,1795526150,Family Medicine,MT
PRV000547,1481653778,OBGYN,KS
PRV000548,1497379050,Family Medicine,IN
PRV000549,1664059191,Orthopedics,RI
PRV000550,1414018149,OBGYN,NM
PRV000551,1777617444,Radiology,NH
PRV000552,1105140241,Pediatrics,GA
PRV000553,1207978817,Dermatology,IN
PRV000554,1615498169,Pediatrics,HI
PRV000555,1039007103,Orthopedics,SD
PRV000556,1059314091,Dermatology,MO
PRV000557,1025020776,Emergency Medicine,WA
PRV000558,1511533998,Family Medicine,FL
PRV000559,1958117591,Radiology,ND
PRV000560,1043589253,Dermatology,OR
PRV000561,1039799117,Pediatrics,SC
PRV000562,1561432229,Family Medicine,NH
PRV000563,1594979249,Internal Medicine,HI
PRV000564,1789584848,Internal Medicine,MT
PRV000565,1027019788,Cardiology,VT
PRV000566,1626477658,Family Medicine,DE
PRV000567,1851175238,OBGYN,TN
PRV000568,1819986837,Psychiatry,HI
PRV000569,1822307292,Radiology,MI
PRV000570,1056346857,Family Medicine,IN
PRV000571,1670741338,Psychiatry,CA
PRV000572,1388929079,Radiology,OH
PRV000573,1949669629,Orthopedics,MD
PRV000574,1220921369,Cardiology,NE
PRV000575,1107821448,Internal Medicine,IL
PRV000576,1338457365,Internal Medicine,ID
PRV000577,1633345798,Emergency Medicine,VT
PRV000578,1651630794,Pediatrics,NM
PRV000579,1803614691,Cardiology,MS
PRV000580,1588379966,Internal Medicine,ND
PRV000581,1163096288,Family Medicine,GA
PRV000582,1466583022,OBGYN,NV
PRV000583,1945707687,Orthopedics,NE
PRV000584,1902914858,Internal Medicine,MN
PRV000585,1517148824,Internal Medicine,LA
PRV000586,1022951146,Radiology,RI
PRV000587,1181831774,Cardiology,NM
PRV000588,1129092063,Internal Medicine,GA
PRV000589,1265735985,Emergency Medicine,CT
PRV000590,1498448440,Orthopedics,MI
PRV000591,1615758340,Emergency Medicine,NM
PRV000592,1858748335,Pediatrics,MD
PRV000593,1814396537,Cardiology,WV
PRV000594,1647479764,Orthopedics,NH
PRV000595,1416947798,Orthopedics,CA
PRV000596,1775139474,Orthopedics,CA
PRV000597,1060267713,OBGYN,MO
PRV000598,1685496730,Emergency Medicine,ND
PRV000599,1050174741,Cardiology,PA
PRV000600,1628003638,Internal Medicine,NM
PRV000601,1424889794,Emergency Medicine,MA
PRV000602,1708868796,Psychiatry,MD
PRV000603,1073744776,Dermatology,NJ
PRV000604,1472053662,Emergency Medicine,OH
PRV000605,1149593756,Orthopedics,CT
PRV000606,1458558363,Emergency Medicine,OH
PRV000607,1450041947,Cardiology,NH
PRV000608,1048856409,Pediatrics,ND
PRV000609,1029661163,Internal Medicine,WY
PRV000610,1462923686,OBGYN,AZ
PRV000611,1270407121,Dermatology,LA
PRV000612,1213669310,Radiology,PA
PRV000613,1689474861,Cardiology,VA
PRV000614,1410025145,OBGYN,AR
PRV000615,1388741880,Cardiology,WV
PRV000616,1695972248,Radiology,IN
PRV000617,1361756393,Cardiology,CO
PRV000618,1349466354,Orthopedics,AZ
PRV000619,1335960704,Orthopedics,TX
PRV000620,1566586253,Radiology,KS
PRV000621,1515359276,Dermatology,HI
PRV000622,1402216480,Orthopedics,WI
PRV000623,1638089245,Pediatrics,VT
PRV000624,1880155827,Psychiatry,CA
PRV000625,1720319811,Cardiology,ND
PRV000626,1913912172,Psychiatry,ND
PRV000627,1564172401,Emergency Medicine,CA
PRV000628,1151066074,Radiology,WY
PRV000629,1521825993,Orthopedics,PA
PRV000630,1017041729,OBGYN,SD
PRV000631,1462262210,Psychiatry,TN
PRV000632,1968303375,Cardiology,TX
PRV000633,1246777373,OBGYN,ID
PRV000634,1523230429,Cardiology,AZ
PRV000635,1766120958,Pediatrics,MO
PRV000636,1738813259,Emergency Medicine,IA
PRV000637,1879845215,OBGYN,LA
PRV000638,1757025359,Family Medicine,TX
PRV000639,1945569015,Family Medicine,IN
PRV000640,1678331064,Emergency Medicine,IL
PRV000641,1152093105,Cardiology,MA
PRV000642,1343712525,Dermatology,NC
PRV000643,1537587058,OBGYN,WI
PRV000644,1886593461,Orthopedics,IL
PRV000645,1344633292,Internal Medicine,MT
PRV000646,1426119023,Family Medicine,NM
PRV000647,1514711755,Orthopedics,NY
PRV000648,1459503864,Radiology,NH
PRV000649,1205557320,Dermatology,NV
PRV000650,1572696359,Radiology,VT
PRV000651,1756705342,OBGYN,VT
PRV000652,1969343543,Radiology,NE
PRV000653,1113473151,Psychiatry,VT
PRV000654,1489937129,Internal Medicine,WA
PRV000655,1207334082,Pediatrics,AL
PRV000656,1651626757,Pediatrics,IN
PRV000657,1829309287,Pediatrics,VT
PRV000658,1442129958,Dermatology,NJ
PRV000659,1985032556,Pediatrics,HI
PRV000660,1515543564,Radiology,NM
PRV000661,1159252396,Orthopedics,HI
PRV000662,1230254935,Pediatrics,OR
PRV000663,1911465788,Family Medicine,NH
PRV000664,1362167260,Radiology,NY
PRV000665,1125598437,OBGYN,OK
PRV000666,1821086713,Internal Medicine,OR
PRV000667,1380615093,Emergency Medicine,NJ
PRV000668,1478485940,Cardiology,KY
PRV000669,1474943970,Radiology,VA
PRV000670,1648532976,Radiology,CT
